"No.","Time","Source","Destination","Protocol","Length","Info"
"200","97.156172","10.0.0.104","192.168.0.3","TCP","66","5000  >  54922 [ACK] Seq=12733 Ack=7505 Win=1002 Len=0 TSval=3330568636 TSecr=637311277"
"201","97.156185","10.0.0.104","192.168.0.3","RSL","602","CHANnel ReQuireD "
"204","97.176337","10.0.0.104","192.168.0.3","TCP","66","5000  >  54922 [ACK] Seq=13269 Ack=8041 Win=1002 Len=0 TSval=3330568656 TSecr=637311292"
"205","97.176356","10.0.0.104","192.168.0.3","RSL","1514","RF RESource INDication "
"206","97.176372","10.0.0.104","192.168.0.3","TCP","696","5000  >  54922 [PSH, ACK] Seq=14717 Ack=8041 Win=1002 Len=630 TSval=3330568656 TSecr=637311292"
"208","97.196518","10.0.0.104","192.168.0.3","RSL","602","CHANnel ReQuireD "
"213","101.459524","10.0.0.101","192.168.0.3","TCP","66","5000  >  41038 [ACK] Seq=9583 Ack=5361 Win=1002 Len=0 TSval=817959808 TSecr=181846399"
"214","101.469581","10.0.0.101","192.168.0.3","RSL","602","CHANnel ReQuireD "
"217","101.489711","10.0.0.101","192.168.0.3","TCP","66","5000  >  41038 [ACK] Seq=10119 Ack=5897 Win=1002 Len=0 TSval=817959838 TSecr=181846427"
"218","101.499785","10.0.0.101","192.168.0.3","RSL","602","CHANnel ReQuireD "
"221","101.519920","10.0.0.101","192.168.0.3","TCP","66","5000  >  41038 [ACK] Seq=10655 Ack=6433 Win=1002 Len=0 TSval=817959868 TSecr=181846458"
"225","105.229684","10.0.0.104","192.168.0.3","TCP","66","5000  >  54922 [ACK] Seq=15883 Ack=8577 Win=1002 Len=0 TSval=3330576709 TSecr=637319349"
"228","106.637028","10.0.0.101","192.168.0.3","TCP","66","5000  >  41038 [ACK] Seq=10655 Ack=6969 Win=1002 Len=0 TSval=817964985 TSecr=181851581"
